FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
273;3127;288;348;10;
274;3138;287;348;10;
275;3152;286;349;10;
276;3162;286;349;10;
277;3176;285;348;10;
278;3187;284;348;10;
279;3195;284;348;10;
280;3207;283;348;10;
281;3216;282;348;10;
282;3227;282;348;10;
283;3240;281;348;10;
284;3250;280;348;10;
285;3261;279;348;11;
286;3275;279;348;11;
287;3284;278;348;10;
288;3294;278;348;10;
289;3307;278;349;9;
290;3317;277;350;8;
291;3328;276;352;7;
292;3342;275;352;6;
293;3352;275;353;5;
294;3361;274;353;6;
295;3374;274;353;6;
296;3384;273;352;7;
297;3397;273;351;8;
298;3408;273;350;9;
299;3421;272;349;10;
300;3437;271;346;12;
301;3447;270;316;42;
302;3457;270;211;148;
303;3464;271;195;163;
304;3476;273;190;169;
305;3484;273;186;171;
306;3496;274;186;172;
307;3509;275;184;173;
308;3518;275;183;174;
309;3529;276;180;177;
310;3543;277;176;180;
311;3551;277;174;182;
312;3563;278;173;183;
313;3576;279;173;183;
314;3585;280;173;182;
315;3597;281;173;181;
316;3609;282;174;181;
317;3619;283;173;181;
318;3630;283;173;181;
319;3642;284;172;181;
320;3652;284;172;181;
321;3663;284;171;182;
322;3678;285;171;183;
323;3690;286;170;183;
324;3698;286;168;185;
325;3710;287;167;186;
326;3718;287;166;187;
327;3730;290;164;188;
328;3743;291;164;188;
329;3752;292;163;188;
330;3764;294;163;187;
331;3776;294;163;188;
332;3786;295;162;188;
333;3799;296;162;188;
334;3810;296;162;188;
335;3820;297;162;188;
336;3831;297;162;187;
337;3844;298;163;186;
338;3859;299;163;186;
339;3868;300;164;184;
340;3879;300;165;184;
341;3888;301;165;183;
342;3898;301;166;183;
343;3912;301;166;182;
344;3921;301;166;182;
345;3932;302;167;181;
346;3946;303;168;181;
347;3959;303;169;180;
348;3969;303;169;180;
349;3981;304;170;179;
350;3994;304;170;178;
351;4005;305;171;178;
352;4015;306;171;177;
353;4032;306;172;177;
354;4046;307;172;177;
355;4055;307;173;177;
356;4066;308;173;176;
357;4080;309;174;175;
358;4092;310;174;175;
359;4100;310;174;174;
360;4113;311;174;175;
361;4122;311;174;175;
362;4133;311;174;175;
363;4147;311;174;176;
364;4158;312;174;176;
365;4167;313;174;176;
366;4180;313;174;176;
367;4189;314;174;175;
368;4200;315;174;175;
369;4215;316;173;176;
370;4225;317;173;176;
371;4233;318;173;176;
372;4247;318;173;176;
373;4256;319;173;176;
374;4267;320;173;176;
375;4280;320;173;176;
376;4293;321;173;176;
377;4301;322;173;177;
378;4314;322;173;177;
379;4324;323;173;177;
380;4334;323;173;177;
381;4347;324;173;177;
382;4358;324;173;178;
383;4367;325;172;178;
384;4380;325;172;178;
385;4390;326;172;178;
386;4401;327;172;178;
387;4415;328;172;178;
388;4425;328;171;178;
389;4434;329;171;178;
390;4447;329;171;178;
391;4456;330;170;178;
392;4468;330;170;178;
393;4481;331;170;178;
394;4493;332;171;177;
395;4503;332;171;177;
396;4515;332;172;177;
397;4528;332;172;177;
398;4535;333;173;177;
399;4548;333;173;176;
400;4557;334;173;176;
401;4568;334;174;176;
402;4581;335;174;176;
403;4592;335;174;176;
404;4602;336;174;176;
405;4616;337;174;176;
406;4625;338;174;176;
407;4635;339;173;176;
408;4648;340;173;176;
409;4659;341;173;176;
410;4669;342;173;176;
411;4683;342;173;176;
412;4691;343;173;177;
413;4702;343;173;177;
414;4715;344;173;177;
415;4725;345;173;177;
416;4736;346;172;177;
417;4749;347;172;177;
418;4758;348;172;177;
419;4769;348;172;177;
420;4782;348;173;177;
421;4793;349;173;177;
422;4803;350;173;177;
423;4818;351;173;177;
424;4827;352;173;177;
425;4836;353;174;177;
426;4849;354;174;177;
427;4859;355;174;177;
428;4870;355;174;177;
429;4884;356;174;177;
430;4895;357;174;177;
431;4904;357;174;177;
432;4917;358;173;177;
433;4926;359;173;177;
434;4937;0;173;177;
435;4950;1;173;177;
436;4962;2;173;177;
437;4971;3;172;177;
438;4983;4;172;177;
439;4993;5;172;177;
440;5004;5;171;177;
441;5019;6;171;177;
442;5035;7;171;177;
443;5044;8;171;177;
444;5051;9;171;177;
445;5060;10;171;177;
446;5071;11;171;177;
447;5085;12;172;177;
448;5097;13;172;177;
449;5105;13;172;176;
450;5118;14;172;176;
451;5137;14;172;176;
452;5147;15;172;176;
453;5156;16;172;176;
454;5164;17;172;176;
455;5171;18;172;176;
456;5184;19;172;175;
457;5198;20;171;175;
458;5209;21;171;175;
459;5218;22;171;175;
460;5227;22;170;175;
461;5238;23;170;175;
462;5251;24;170;175;
463;5261;25;170;175;
464;5272;26;170;175;
465;5285;27;170;175;
466;5294;29;169;175;
467;5305;30;169;175;
468;5319;31;169;175;
469;5328;32;169;175;
470;5339;32;169;175;
471;5352;33;169;175;
472;5366;34;169;175;
473;5377;35;168;175;
474;5387;36;168;175;
475;5395;37;168;175;
476;5406;38;168;175;
477;5420;39;168;175;
478;5432;40;168;175;
479;5443;41;168;175;
480;5454;42;168;175;
481;5462;43;168;175;
482;5473;44;168;175;
483;5487;45;167;175;
484;5497;46;167;174;
485;5506;47;167;174;
486;5520;48;167;174;
487;5531;49;168;174;
488;5540;50;168;174;
489;5553;51;167;174;
490;5563;51;167;174;
491;5574;52;168;174;
492;5587;53;168;173;
493;5596;53;168;174;
494;5607;54;168;174;
495;5620;54;169;174;
496;5633;55;169;174;
497;5645;56;169;174;
498;5654;57;168;173;
499;5663;57;168;173;
500;5676;58;168;173;
501;5690;58;168;173;
502;5701;58;168;173;
503;5714;58;168;174;
504;5724;58;168;174;
505;5732;58;169;174;
506;5743;59;169;174;
507;5756;59;169;174;
508;5765;60;169;175;
509;5778;61;169;175;
510;5788;61;170;176;
511;5797;62;170;176;
512;5810;63;170;177;
513;5824;63;171;177;
514;5834;64;171;177;
515;5847;64;171;177;
516;5857;64;170;177;
517;5866;65;170;176;
518;5877;65;169;175;
519;5888;65;168;174;
520;5897;66;168;174;
521;5911;67;167;173;
522;5921;67;166;172;
523;5931;68;165;171;
524;5944;69;164;169;
525;5957;70;163;168;
526;5966;72;162;168;
527;5979;73;162;167;
528;5989;74;162;167;
529;5998;75;162;167;
530;6011;75;162;167;
531;6025;75;162;167;
532;6037;76;161;166;
533;6049;76;161;165;
534;6058;77;160;164;
535;6067;78;158;162;
536;6078;78;156;160;
537;6089;79;153;157;
538;6099;80;151;155;
539;6111;81;149;153;
540;6122;81;148;151;
541;6132;82;146;150;
542;6145;82;144;148;
543;6158;82;142;145;
544;6167;83;138;142;
545;6179;83;134;137;
546;6190;84;127;130;
547;6199;84;118;121;
548;6212;85;107;110;
549;6222;85;96;99;
550;6232;85;84;87;
551;6246;85;75;78;
552;6257;84;68;71;
553;6268;84;61;64;
554;6280;84;54;57;
555;6292;83;48;51;
556;6302;82;40;43;
557;6314;81;33;36;
558;6325;80;28;30;
559;6335;79;24;26;
560;6346;78;22;24;
561;6360;77;21;23;
562;6371;76;20;22;
563;6384;75;19;20;
564;6396;74;17;19;
565;6405;73;16;17;
566;6417;73;15;16;
567;6427;72;15;16;
568;6436;71;14;15;
569;6448;70;13;14;
570;6457;69;13;13;
571;6467;68;12;13;
572;6480;67;12;12;
573;6491;66;11;11;
574;6501;66;10;11;
575;6514;65;10;10;
576;6523;64;9;9;
577;6535;63;9;9;
578;6547;63;9;9;
579;6557;62;9;8;
580;6568;61;8;8;
581;6580;60;8;8;
582;6596;59;8;8;
583;6605;59;7;7;
584;6616;58;7;7;
585;6629;57;7;7;
586;6638;56;7;6;
587;6649;55;6;6;
588;6673;54;6;6;
589;6683;51;6;6;
590;6696;50;6;6;
591;6711;49;6;6;
592;6722;49;6;5;
593;6730;48;6;5;
594;6738;47;5;5;
595;6748;46;5;5;
596;6757;46;5;5;
597;6769;45;5;4;
598;6781;44;5;4;
599;6791;42;5;4;
600;6802;41;5;4;
601;6823;40;5;4;
602;6832;39;5;4;
603;6841;38;5;4;
604;6855;38;5;4;
605;6868;37;5;4;
606;6882;35;5;3;
607;6895;34;5;3;
