FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
273;3148;3;359;358;
274;3161;3;359;358;
275;3172;3;359;358;
276;3183;3;359;358;
277;3195;3;359;358;
278;3204;3;359;358;
279;3215;3;359;358;
280;3229;3;359;358;
281;3238;3;359;358;
282;3248;3;359;358;
283;3262;3;359;358;
284;3271;3;359;358;
285;3282;3;359;358;
286;3295;3;359;358;
287;3304;3;359;358;
288;3316;3;359;358;
289;3328;3;359;358;
290;3337;3;359;358;
291;3349;3;359;358;
292;3362;3;359;358;
293;3371;3;359;358;
294;3382;3;359;358;
295;3398;3;359;358;
296;3406;3;359;358;
297;3416;3;359;358;
298;3430;3;359;358;
299;3441;3;359;358;
300;3457;3;359;358;
301;3465;3;359;358;
302;3473;3;359;358;
303;3483;3;359;358;
304;3496;3;359;358;
305;3506;3;359;358;
306;3516;3;359;358;
307;3531;3;359;358;
308;3542;3;359;358;
309;3550;3;359;358;
310;3563;3;359;358;
311;3572;3;359;358;
312;3583;3;359;358;
313;3598;3;359;358;
314;3608;3;359;358;
315;3620;3;359;358;
316;3628;3;359;358;
317;3639;3;359;358;
318;3652;3;359;358;
319;3661;3;359;358;
320;3672;3;359;358;
321;3684;3;359;358;
322;3697;3;359;358;
323;3706;3;359;358;
324;3720;3;359;358;
325;3729;3;359;358;
326;3741;3;359;358;
327;3753;3;359;358;
328;3764;3;359;358;
329;3774;3;359;358;
330;3787;3;359;358;
331;3798;3;359;358;
332;3807;3;359;358;
333;3821;3;359;358;
334;3833;3;359;358;
335;3841;3;359;358;
336;3854;3;359;358;
337;3864;3;359;358;
338;3874;3;359;358;
339;3888;3;359;358;
340;3901;3;359;358;
341;3911;3;359;358;
342;3921;3;359;358;
343;3930;3;359;358;
344;3941;3;359;358;
345;3954;3;359;358;
346;3963;3;359;358;
347;3975;3;359;358;
348;3988;3;359;358;
349;4006;3;359;358;
350;4016;3;359;358;
351;4028;3;359;358;
352;4039;3;359;358;
353;4047;3;359;358;
354;4060;3;359;358;
355;4072;3;359;358;
356;4081;3;359;358;
357;4091;3;359;358;
358;4100;3;359;358;
359;4109;3;359;358;
360;4122;3;359;358;
361;4131;3;359;358;
362;4142;3;359;358;
363;4155;3;359;358;
364;4165;3;359;358;
365;4176;3;359;358;
366;4188;3;359;358;
367;4201;3;359;358;
368;4209;3;359;358;
369;4222;3;359;358;
370;4234;3;359;358;
371;4243;3;359;358;
372;4255;3;359;358;
373;4266;3;359;358;
374;4276;3;359;358;
375;4291;3;359;358;
376;4304;3;359;358;
377;4314;3;359;358;
378;4325;3;359;358;
379;4336;3;359;358;
380;4344;3;359;358;
381;4357;3;359;358;
382;4366;3;359;358;
383;4376;3;359;358;
384;4390;3;0;358;
385;4401;3;0;358;
386;4412;3;0;358;
387;4423;3;0;358;
388;4436;3;359;358;
389;4445;3;359;358;
390;4458;3;359;358;
391;4467;3;0;358;
392;4477;3;0;358;
393;4491;3;0;358;
394;4504;3;0;358;
395;4513;3;0;358;
396;4524;3;359;358;
397;4538;3;0;358;
398;4548;3;0;358;
399;4558;3;0;358;
400;4570;3;0;358;
401;4579;3;0;358;
402;4591;3;0;358;
403;4603;3;0;358;
404;4612;3;0;358;
405;4626;3;0;358;
406;4637;3;0;358;
407;4645;3;0;358;
408;4659;3;0;358;
409;4668;3;0;358;
410;4679;3;0;358;
411;4693;3;0;358;
412;4703;3;0;358;
413;4712;3;0;358;
414;4727;3;359;358;
415;4738;3;359;358;
416;4747;3;359;358;
417;4760;3;359;358;
418;4772;3;359;358;
419;4782;3;359;358;
420;4798;3;359;358;
421;4811;3;359;358;
422;4823;3;359;358;
423;4835;3;359;358;
424;4844;3;359;358;
425;4856;3;359;358;
426;4869;3;0;358;
427;4878;3;0;358;
428;4892;3;0;358;
429;4905;3;0;358;
430;4915;3;359;358;
431;4927;3;0;358;
432;4937;3;0;358;
433;4946;3;0;358;
434;4959;3;0;358;
435;4969;3;0;358;
436;4979;3;0;358;
437;4992;3;0;358;
438;5003;3;0;358;
439;5016;3;0;358;
440;5035;3;0;358;
441;5047;3;0;358;
442;5060;3;0;358;
443;5074;3;0;358;
444;5092;3;0;358;
445;5111;3;0;358;
446;5125;3;0;358;
447;5137;3;0;358;
448;5148;3;0;358;
449;5158;3;0;358;
450;5167;3;0;358;
451;5181;3;0;358;
452;5191;3;0;358;
453;5201;3;0;358;
454;5212;3;0;358;
455;5226;3;0;358;
456;5235;3;0;358;
457;5245;3;0;358;
458;5259;3;0;358;
459;5270;3;0;358;
460;5280;3;0;358;
461;5292;3;0;358;
462;5301;3;0;358;
463;5313;3;0;358;
464;5326;3;0;358;
465;5336;3;0;358;
466;5346;3;0;358;
467;5360;3;0;358;
468;5369;3;0;358;
469;5379;3;0;358;
470;5393;3;0;358;
471;5403;3;0;358;
472;5413;3;0;358;
473;5427;3;0;358;
474;5445;3;0;358;
475;5455;3;0;358;
476;5466;3;0;358;
477;5475;3;0;358;
478;5483;3;0;358;
479;5494;3;0;358;
480;5507;3;0;358;
481;5515;3;0;358;
482;5527;3;0;358;
483;5537;3;0;358;
484;5547;3;0;358;
485;5561;3;0;358;
486;5575;3;0;358;
487;5589;3;0;358;
488;5601;3;0;358;
489;5613;3;0;358;
490;5627;3;0;358;
491;5637;3;0;358;
492;5647;3;0;358;
493;5672;3;0;358;
494;5698;3;0;358;
495;5714;3;0;358;
496;5728;3;0;358;
497;5741;3;0;358;
498;5752;3;0;358;
499;5764;3;0;358;
500;5775;3;0;358;
501;5785;3;0;358;
502;5798;3;0;358;
503;5812;3;0;358;
504;5825;3;0;358;
505;5837;3;0;358;
506;5846;3;0;358;
507;5857;3;0;358;
508;5873;3;0;358;
509;5883;3;0;358;
510;5895;3;0;358;
511;5906;3;0;358;
512;5915;3;0;358;
513;5929;3;0;358;
514;5940;3;0;358;
515;5950;3;0;358;
516;5962;3;0;358;
517;5972;3;0;358;
518;5982;3;0;358;
519;5996;3;0;358;
520;6007;3;0;358;
521;6016;3;0;358;
522;6029;3;0;358;
523;6042;3;0;358;
524;6052;3;0;358;
525;6066;3;0;358;
526;6080;3;0;358;
527;6093;3;0;358;
528;6103;3;0;358;
529;6113;3;0;358;
530;6126;3;0;358;
531;6139;3;0;358;
532;6163;3;0;358;
533;6172;3;0;358;
534;6183;3;0;358;
535;6196;3;0;358;
536;6206;3;0;358;
537;6217;3;0;358;
538;6230;3;0;358;
539;6241;3;0;358;
540;6250;3;0;358;
541;6263;3;0;358;
542;6273;3;0;358;
543;6284;3;0;358;
544;6297;3;0;358;
545;6307;3;0;358;
546;6317;3;0;358;
547;6331;3;359;358;
548;6342;3;0;358;
549;6351;3;0;358;
550;6364;3;0;358;
551;6373;3;0;358;
552;6385;3;0;358;
553;6397;3;0;358;
554;6407;3;0;358;
555;6418;3;0;358;
556;6431;3;0;358;
557;6443;3;0;358;
558;6452;3;0;358;
559;6464;3;359;358;
560;6474;3;0;358;
561;6485;3;0;358;
562;6497;3;0;358;
563;6510;3;359;358;
564;6518;3;359;358;
565;6532;3;359;358;
566;6541;3;0;358;
567;6552;3;0;358;
568;6564;3;0;358;
569;6574;3;0;358;
570;6585;3;0;358;
571;6598;3;0;358;
572;6609;3;359;358;
573;6619;3;359;358;
574;6632;3;359;358;
575;6643;3;359;358;
576;6652;3;0;358;
577;6665;3;0;358;
578;6675;3;0;358;
579;6686;3;0;358;
580;6699;3;0;358;
581;6708;3;0;358;
582;6719;3;0;358;
583;6732;3;359;358;
584;6743;3;359;358;
585;6754;3;359;358;
586;6768;3;359;358;
587;6780;3;0;358;
