FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
2;33;0;0;0;
3;397;0;0;0;
4;444;0;359;0;
5;461;0;359;0;
6;477;0;359;0;
7;494;0;359;0;
8;511;359;359;0;
9;527;359;359;0;
10;544;359;359;0;
11;560;359;359;0;
12;596;359;359;0;
13;612;359;359;0;
14;629;359;359;0;
15;645;359;359;0;
16;662;359;359;0;
17;679;359;359;0;
18;695;359;359;0;
19;712;359;359;0;
20;730;359;359;0;
21;746;359;359;0;
22;763;359;359;0;
23;779;359;359;0;
24;796;359;359;0;
25;812;359;359;0;
26;829;359;358;0;
27;846;359;358;0;
28;862;359;358;0;
29;880;359;358;0;
30;897;359;358;0;
31;914;359;357;0;
32;930;359;357;0;
33;947;359;357;0;
34;963;359;357;0;
35;980;359;357;0;
36;996;359;357;0;
37;1013;359;356;0;
38;1029;359;356;0;
39;1046;359;356;0;
40;1063;359;356;0;
41;1079;359;356;0;
42;1096;359;356;0;
43;1112;359;356;0;
44;1129;359;356;0;
45;1146;358;356;0;
46;1162;358;356;0;
47;1179;358;356;0;
48;1195;358;356;0;
49;1212;358;355;0;
50;1228;358;355;0;
51;1245;358;355;0;
52;1261;358;355;0;
53;1278;358;355;0;
54;1295;358;355;0;
55;1311;358;355;0;
56;1328;358;355;0;
57;1344;358;355;0;
58;1361;358;355;0;
59;1377;358;355;0;
60;1394;358;355;0;
61;1411;358;355;0;
62;1428;358;355;0;
63;1444;358;354;0;
64;1461;358;354;0;
65;1477;358;354;0;
66;1494;358;354;0;
67;1510;358;354;0;
68;1526;358;354;0;
69;1543;358;354;0;
70;1560;358;354;0;
71;1576;358;354;0;
72;1593;359;354;0;
73;1609;359;353;0;
74;1626;359;353;0;
75;1643;359;353;0;
76;1659;359;353;0;
77;1676;359;353;0;
78;1692;359;353;0;
79;1709;359;353;0;
80;1726;359;353;0;
81;1742;0;353;0;
82;1758;0;353;0;
83;1775;0;353;0;
84;1792;0;353;0;
85;1808;0;353;0;
86;1825;0;353;0;
87;1841;0;353;0;
88;1858;0;353;0;
89;1875;0;353;0;
90;1892;0;353;0;
91;1909;0;353;0;
92;1925;0;353;0;
93;1941;0;353;0;
94;1959;0;353;0;
95;1975;0;353;0;
96;1991;1;353;0;
97;2008;1;353;0;
98;2025;1;353;0;
99;2041;1;353;0;
100;2058;1;353;0;
101;2075;1;354;0;
102;2092;2;354;0;
103;2108;2;354;0;
104;2124;2;354;0;
105;2142;2;354;0;
106;2157;3;354;0;
107;2174;3;354;0;
108;2191;3;355;0;
109;2207;3;355;0;
110;2224;4;355;0;
111;2241;4;355;0;
112;2257;4;355;0;
113;2273;5;356;0;
114;2290;5;356;0;
115;2306;5;356;0;
116;2323;6;356;0;
117;2341;6;356;0;
118;2358;6;356;0;
119;2374;7;356;0;
120;2391;7;357;0;
121;2408;7;357;0;
122;2424;8;357;0;
123;2441;8;357;0;
124;2457;8;357;0;
125;2474;9;357;0;
126;2490;9;357;0;
127;2509;10;357;0;
128;2526;11;357;0;
129;2542;11;357;0;
130;2559;11;357;0;
131;2576;12;357;0;
132;2593;13;357;0;
133;2609;13;357;0;
134;2626;14;357;0;
135;2642;15;357;0;
136;2659;16;357;0;
137;2675;17;357;0;
138;2692;17;357;0;
139;2709;18;357;0;
140;2725;19;357;0;
141;2742;20;357;0;
142;2758;21;357;0;
143;2775;21;357;0;
144;2792;22;357;0;
145;2808;23;357;0;
146;2825;24;357;0;
147;2841;24;357;0;
148;2858;25;357;0;
149;2874;26;357;0;
150;2891;26;357;0;
151;2907;27;357;0;
152;2924;28;356;0;
153;2941;28;356;0;
154;2957;29;356;0;
155;2974;30;356;0;
156;2990;31;355;0;
157;3007;31;355;0;
158;3023;32;355;0;
159;3040;33;355;0;
160;3056;33;355;0;
161;3073;35;354;0;
162;3090;35;354;0;
163;3106;36;354;0;
164;3123;37;353;0;
165;3139;38;353;0;
166;3156;39;353;0;
167;3172;40;352;0;
168;3189;41;352;0;
169;3205;42;352;0;
170;3222;43;352;0;
171;3239;45;351;0;
172;3255;46;351;0;
173;3272;47;350;0;
174;3289;48;350;0;
175;3305;49;350;0;
176;3321;51;349;0;
177;3338;52;349;0;
178;3355;53;348;0;
179;3371;54;348;0;
180;3388;55;348;0;
181;3405;56;348;0;
182;3421;57;347;0;
183;3437;58;347;0;
184;3455;60;347;0;
185;3474;61;347;0;
186;3490;64;347;0;
187;3507;64;347;0;
188;3523;66;347;0;
189;3540;67;347;0;
190;3556;68;347;0;
191;3573;70;347;0;
192;3590;70;347;0;
193;3606;71;347;0;
194;3623;71;347;0;
195;3639;72;347;0;
196;3656;72;347;0;
197;3672;72;347;0;
198;3689;73;347;0;
199;3706;73;347;0;
200;3722;74;347;0;
201;3739;74;347;0;
202;3755;75;347;0;
203;3772;75;347;0;
204;3789;76;347;0;
205;3805;77;348;0;
206;3822;77;348;0;
207;3838;77;348;0;
208;3855;78;349;0;
209;3871;79;349;0;
210;3888;79;350;0;
211;3904;79;351;0;
212;3921;79;351;0;
213;3938;79;353;0;
214;3954;79;353;0;
215;3974;79;354;0;
216;3991;79;356;0;
217;4008;79;356;0;
218;4024;79;357;0;
219;4041;79;359;0;
220;4057;79;0;0;
221;4074;79;2;0;
222;4090;79;3;0;
223;4107;79;4;0;
224;4124;79;6;0;
225;4140;78;8;0;
226;4157;79;8;0;
227;4173;79;10;0;
228;4190;79;11;0;
229;4206;79;12;0;
230;4223;79;14;0;
231;4239;79;15;0;
232;4256;79;17;0;
233;4275;79;19;0;
234;4291;78;22;0;
235;4308;79;24;0;
236;4324;79;24;0;
237;4341;78;27;0;
238;4357;79;28;0;
239;4374;79;29;0;
240;4391;78;29;0;
241;4407;79;30;0;
242;4424;78;30;0;
243;4440;78;30;0;
244;4457;78;30;0;
245;4474;78;30;0;
246;4490;78;30;0;
247;4507;78;30;0;
248;4523;78;30;0;
249;4540;78;30;0;
250;4556;78;30;0;
251;4573;78;30;0;
252;4589;78;30;0;
253;4606;78;30;0;
254;4622;78;30;0;
255;4639;78;30;0;
256;4656;78;30;0;
257;4672;78;30;0;
258;4689;78;30;0;
259;4706;78;30;0;
260;4722;78;30;0;
261;4738;78;30;0;
262;4755;78;30;0;
263;4772;78;30;0;
264;4788;79;30;0;
265;4805;79;29;0;
266;4822;79;29;0;
267;4838;79;29;0;
268;4854;79;29;0;
269;4872;79;29;0;
270;4888;79;29;0;
271;4905;79;29;0;
272;4921;79;30;0;
273;4938;79;30;0;
274;4955;79;30;0;
275;4971;79;32;0;
276;4988;79;32;0;
277;5004;79;34;0;
278;5021;79;34;0;
279;5037;79;36;0;
280;5133;79;38;0;
281;5150;79;46;0;
282;5166;79;47;0;
283;5183;79;48;0;
284;5199;79;50;0;
285;5217;79;51;0;
286;5232;79;53;0;
287;5249;79;55;0;
288;5265;79;56;0;
289;5282;79;58;0;
290;5299;78;60;0;
291;5315;79;62;0;
292;5332;79;63;0;
293;5349;79;65;0;
294;5365;79;66;0;
295;5382;78;67;0;
296;5398;79;67;0;
297;5415;78;68;0;
298;5431;78;70;0;
299;5448;78;71;0;
300;5464;78;73;0;
301;5482;78;74;0;
302;5497;78;75;0;
303;5514;77;77;0;
304;5534;77;79;0;
305;5551;76;82;0;
306;5567;76;83;0;
307;5584;76;84;0;
308;5601;75;86;0;
309;5617;74;87;0;
310;5634;73;89;0;
311;5650;73;90;0;
312;5667;72;92;0;
313;5684;71;93;0;
314;5700;70;94;0;
315;5717;68;95;0;
316;5733;67;96;0;
317;5750;66;97;0;
318;5767;65;98;0;
