FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
273;3140;359;178;5;
274;3150;359;177;5;
275;3160;359;176;5;
276;3168;359;175;5;
277;3178;359;174;5;
278;3189;359;173;5;
279;3203;359;172;5;
280;3214;359;171;5;
281;3223;359;170;5;
282;3237;359;169;5;
283;3246;359;168;5;
284;3259;359;167;5;
285;3268;359;166;5;
286;3279;359;165;5;
287;3292;359;164;5;
288;3301;359;163;5;
289;3313;359;162;5;
290;3326;359;161;5;
291;3335;359;160;5;
292;3346;359;159;5;
293;3360;359;157;5;
294;3371;359;156;6;
295;3380;359;155;6;
296;3393;359;154;6;
297;3402;359;153;6;
298;3413;359;152;6;
299;3426;359;151;6;
300;3450;359;149;6;
301;3461;359;147;6;
302;3470;359;145;7;
303;3480;359;144;7;
304;3494;359;143;7;
305;3502;358;141;7;
306;3514;358;140;7;
307;3527;358;139;7;
308;3536;358;138;7;
309;3547;359;136;7;
310;3562;359;135;8;
311;3570;359;134;8;
312;3580;359;133;8;
313;3595;359;132;8;
314;3605;359;130;8;
315;3615;359;129;8;
316;3627;359;128;8;
317;3637;359;127;8;
318;3647;359;125;8;
319;3661;359;124;8;
320;3670;359;123;8;
321;3681;359;122;8;
322;3694;359;121;8;
323;3703;359;120;8;
324;3714;359;119;8;
325;3727;359;118;8;
326;3737;359;117;8;
327;3748;359;117;8;
328;3762;359;116;8;
329;3771;359;115;8;
330;3782;359;114;8;
331;3795;359;113;8;
332;3804;359;112;8;
333;3815;359;111;8;
334;3828;359;110;8;
335;3838;359;109;8;
336;3849;359;109;8;
337;3862;359;108;8;
338;3871;359;107;8;
339;3882;359;106;8;
340;3895;359;105;8;
341;3905;359;104;8;
342;3916;359;103;8;
343;3929;359;102;8;
344;3939;359;101;8;
345;3949;359;100;8;
346;3964;359;99;8;
347;3972;359;98;8;
348;3983;359;97;8;
349;3997;359;96;8;
350;4007;359;95;8;
351;4016;359;94;8;
352;4029;359;93;8;
353;4039;359;92;8;
354;4050;359;91;8;
355;4063;359;89;8;
356;4072;359;88;8;
357;4083;359;87;8;
358;4096;359;85;7;
359;4106;359;84;7;
360;4117;359;83;7;
361;4130;359;81;7;
