FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
3;91;0;0;0;
4;104;0;0;0;
5;115;0;0;0;
6;125;0;0;0;
7;137;0;0;0;
8;146;0;0;0;
9;157;0;0;0;
10;169;0;0;0;
11;180;0;0;0;
12;191;0;0;0;
13;202;0;0;0;
14;214;0;0;0;
15;224;0;0;0;
16;236;0;0;0;
17;247;0;0;0;
18;258;0;0;0;
19;269;0;0;0;
20;281;0;0;0;
21;291;0;0;0;
22;303;0;0;0;
23;314;0;0;0;
24;325;0;0;0;
25;336;0;0;0;
26;347;0;0;0;
27;358;0;0;0;
28;370;0;0;0;
29;381;0;0;0;
30;392;0;0;0;
31;403;0;0;0;
32;414;0;0;0;
33;425;0;0;0;
34;437;0;0;0;
35;448;0;0;0;
36;459;0;0;0;
37;470;0;0;0;
38;481;0;0;0;
39;492;0;0;0;
40;503;0;0;0;
41;515;0;0;0;
42;526;0;0;0;
43;537;0;0;0;
44;551;0;0;0;
45;560;0;0;0;
46;570;0;0;0;
47;582;0;0;0;
48;593;0;0;0;
49;604;0;0;0;
50;616;0;0;0;
51;626;0;0;0;
52;637;0;0;0;
53;649;0;0;0;
54;660;0;0;0;
55;671;0;0;0;
56;682;0;0;0;
57;693;0;0;0;
58;704;0;0;0;
59;715;0;0;0;
60;727;0;0;0;
61;738;0;0;0;
62;749;0;0;0;
63;761;0;0;0;
64;771;0;0;0;
65;783;0;0;0;
66;794;0;0;0;
67;805;0;0;0;
68;816;0;0;0;
69;830;0;0;0;
70;838;0;0;0;
71;849;0;0;0;
72;861;0;0;0;
73;872;0;0;0;
74;883;0;0;0;
75;894;0;0;0;
76;905;0;0;0;
77;917;0;0;0;
78;928;0;0;0;
79;939;0;0;0;
80;950;0;0;0;
81;961;0;0;0;
82;972;0;0;0;
83;984;0;0;0;
84;995;0;0;0;
85;1006;0;0;0;
86;1017;0;0;0;
87;1028;0;0;0;
88;1039;0;0;0;
89;1051;0;0;0;
90;1064;0;0;0;
91;1074;0;0;0;
92;1097;0;0;0;
93;1107;0;0;0;
94;1120;0;0;0;
95;1129;0;0;0;
96;1140;0;0;0;
97;1154;0;0;0;
98;1162;0;0;0;
99;1173;0;0;0;
100;1187;0;0;0;
101;1196;0;0;0;
102;1207;0;0;0;
103;1220;0;0;0;
104;1230;0;0;0;
105;1241;0;0;0;
106;1255;0;0;0;
107;1263;0;0;0;
108;1275;0;0;0;
109;1287;0;0;0;
110;1297;0;0;0;
111;1307;0;0;0;
112;1321;0;0;0;
113;1330;0;0;0;
114;1341;0;0;0;
115;1355;0;0;0;
116;1363;0;0;0;
117;1375;0;0;0;
118;1388;0;0;0;
119;1397;0;0;0;
120;1408;0;0;0;
121;1422;0;0;0;
122;1431;0;0;0;
123;1442;0;0;0;
124;1457;0;0;0;
125;1464;0;0;0;
126;1475;0;0;0;
127;1488;0;0;0;
128;1497;0;0;0;
129;1509;0;0;0;
130;1522;0;0;0;
131;1531;0;0;0;
132;1542;0;0;0;
133;1555;0;0;0;
134;1565;0;0;0;
135;1576;0;0;0;
136;1590;0;0;0;
137;1598;0;0;0;
138;1609;0;0;0;
139;1623;0;0;0;
140;1632;0;0;0;
141;1643;0;0;0;
142;1656;0;0;0;
143;1665;0;0;0;
144;1676;0;0;0;
145;1689;0;0;0;
146;1698;0;0;0;
147;1710;0;0;0;
148;1723;0;0;0;
149;1732;0;0;0;
150;1743;0;0;0;
151;1756;0;0;0;
152;1766;0;0;0;
153;1777;0;0;0;
154;1790;0;0;0;
155;1800;0;0;0;
156;1811;0;0;0;
157;1823;0;0;0;
158;1833;0;0;0;
159;1844;0;0;0;
160;1858;0;0;0;
161;1866;0;0;0;
162;1877;0;0;0;
163;1891;0;0;0;
164;1900;0;0;0;
165;1911;0;0;0;
166;1924;0;0;0;
167;1933;0;0;0;
168;1944;0;0;0;
169;1958;0;0;0;
170;1967;0;0;0;
171;1978;0;0;0;
172;1991;0;0;0;
173;2000;0;0;0;
174;2012;0;0;0;
175;2024;0;0;0;
176;2034;0;0;0;
177;2045;0;0;0;
178;2060;0;0;0;
179;2067;0;0;0;
180;2078;0;0;0;
181;2091;0;0;0;
182;2101;0;0;0;
183;2112;0;0;0;
184;2128;0;0;0;
185;2135;0;0;0;
186;2145;0;0;0;
187;2159;0;0;0;
188;2168;0;0;0;
189;2179;0;0;0;
190;2192;0;0;0;
191;2201;0;0;0;
192;2213;0;0;0;
193;2226;0;0;0;
194;2235;0;0;0;
195;2246;0;0;0;
196;2259;0;0;0;
197;2268;0;0;0;
198;2280;0;0;0;
199;2293;0;0;0;
200;2302;0;0;0;
201;2313;0;0;0;
202;2326;0;0;0;
203;2335;0;0;0;
204;2349;0;0;0;
205;2360;0;0;0;
206;2369;0;0;0;
207;2380;0;0;0;
208;2393;0;0;0;
209;2403;0;0;0;
210;2414;0;0;0;
211;2427;0;0;0;
212;2436;0;0;0;
213;2447;0;0;0;
214;2460;0;0;0;
215;2470;0;0;0;
216;2481;0;0;0;
217;2494;0;0;0;
218;2504;0;0;0;
219;2514;0;0;0;
220;2527;0;0;0;
221;2537;0;0;0;
222;2548;0;0;0;
223;2561;0;0;0;
224;2571;0;0;0;
225;2581;0;0;0;
226;2594;0;0;0;
227;2604;0;0;0;
228;2615;0;0;0;
229;2629;0;0;0;
230;2638;0;0;0;
231;2649;0;0;0;
232;2661;0;0;0;
233;2671;0;0;0;
234;2682;0;0;0;
235;2695;0;0;0;
236;2704;0;0;0;
237;2716;0;0;0;
238;2729;0;0;0;
239;2738;0;0;0;
240;2749;0;0;0;
241;2762;0;0;0;
242;2772;0;0;0;
243;2783;0;0;0;
244;2796;0;0;0;
245;2805;0;0;0;
246;2816;0;0;0;
247;2829;0;0;0;
248;2839;0;0;0;
249;2850;0;0;0;
250;2864;0;0;0;
251;2874;0;0;0;
252;2883;0;0;0;
253;2897;0;0;0;
254;2906;0;0;0;
255;2917;0;0;0;
256;2930;0;0;0;
257;2941;0;0;0;
258;2951;0;0;0;
259;2964;0;0;0;
260;2973;0;0;0;
261;2984;0;0;0;
262;2998;0;0;0;
263;3006;0;0;0;
264;3018;0;0;0;
265;3031;0;0;0;
266;3040;0;0;0;
267;3051;0;0;0;
268;3064;0;0;0;
269;3073;0;0;0;
270;3084;0;0;0;
271;3098;0;0;0;
272;3107;0;0;0;
273;3118;0;0;0;
274;3132;0;0;0;
275;3140;0;0;0;
276;3151;0;0;0;
277;3165;0;0;0;
278;3174;0;0;0;
279;3185;0;0;0;
280;3198;0;0;0;
281;3208;347;64;352;
282;3219;347;63;352;
283;3232;347;63;352;
284;3241;347;63;352;
285;3252;347;62;353;
286;3265;347;62;353;
287;3274;347;61;353;
288;3285;347;61;352;
289;3298;348;60;353;
290;3308;347;60;353;
291;3319;347;59;353;
292;3331;347;58;353;
293;3341;347;58;353;
294;3352;347;57;353;
295;3365;347;57;352;
296;3376;347;56;352;
297;3386;347;55;352;
298;3399;347;55;352;
299;3408;347;54;352;
300;3419;347;53;351;
301;3432;347;24;351;
302;3442;347;23;351;
303;3453;347;22;351;
304;3465;347;21;351;
305;3475;347;20;351;
306;3488;347;19;351;
307;3498;347;19;351;
308;3509;347;18;351;
309;3522;347;18;351;
310;3531;347;18;351;
311;3542;347;18;351;
312;3556;347;18;351;
313;3565;347;18;351;
314;3576;347;18;351;
315;3588;347;18;351;
316;3598;346;18;351;
317;3609;346;19;351;
318;3623;346;19;351;
319;3632;346;19;351;
320;3642;346;19;351;
321;3656;346;19;352;
322;3665;346;19;352;
323;3676;346;19;352;
324;3690;346;19;352;
325;3698;347;19;352;
326;3710;347;18;352;
327;3723;347;18;352;
328;3732;347;18;352;
329;3743;347;18;352;
330;3756;347;17;352;
331;3766;347;17;352;
332;3776;347;17;352;
333;3789;347;17;352;
334;3799;347;17;352;
335;3810;347;17;352;
336;3823;347;17;352;
337;3833;347;17;352;
338;3844;347;18;352;
339;3859;347;18;352;
340;3868;347;18;352;
341;3877;347;18;352;
342;3890;347;18;352;
343;3900;347;18;352;
344;3911;347;18;352;
345;3924;347;18;352;
346;3934;347;18;352;
347;3944;347;18;352;
348;3957;347;18;352;
349;3967;347;18;352;
350;3978;347;18;352;
351;3991;347;18;352;
352;4000;347;18;352;
353;4011;347;18;352;
354;4024;347;18;352;
355;4034;347;18;352;
356;4045;347;18;352;
357;4058;347;18;352;
358;4067;347;18;352;
359;4078;347;18;352;
360;4091;347;18;352;
361;4100;347;18;352;
362;4112;347;18;352;
363;4125;347;18;352;
364;4135;347;18;352;
365;4145;347;18;352;
366;4158;347;18;352;
367;4168;347;18;352;
368;4179;347;18;352;
369;4192;347;18;352;
370;4201;347;18;352;
371;4212;347;18;352;
372;4226;347;18;352;
373;4235;347;18;352;
374;4246;347;18;352;
375;4259;347;18;352;
376;4268;347;18;352;
377;4279;347;18;352;
378;4293;347;18;352;
379;4302;347;18;352;
380;4313;347;18;352;
381;4326;347;18;352;
382;4335;347;18;352;
383;4346;347;18;352;
384;4359;347;18;352;
385;4369;347;18;352;
