FrameNumber;Time(ms);xAngle(°);yAngle(°);zAngle(°)
273;3157;359;357;305;
274;3168;359;357;304;
275;3181;359;356;304;
276;3192;359;356;304;
277;3201;359;356;303;
278;3215;359;356;303;
279;3224;359;356;303;
280;3235;359;356;302;
281;3248;359;356;301;
282;3257;359;356;301;
283;3268;359;355;300;
284;3281;359;355;299;
285;3290;359;355;299;
286;3302;359;355;298;
287;3315;359;355;297;
288;3327;359;354;296;
289;3335;359;354;296;
290;3348;359;354;295;
291;3357;359;354;294;
292;3368;359;354;294;
293;3381;359;354;293;
294;3392;359;354;292;
295;3402;359;354;292;
296;3415;359;354;291;
297;3426;0;354;291;
298;3436;0;354;290;
299;3449;0;354;290;
300;3458;0;354;289;
301;3469;0;354;289;
302;3483;0;355;288;
303;3496;0;355;288;
304;3504;0;354;287;
305;3515;0;354;287;
306;3526;1;355;286;
307;3536;1;355;286;
308;3549;1;355;285;
309;3559;1;355;285;
310;3570;1;355;284;
311;3583;2;355;284;
312;3593;2;356;283;
313;3603;2;356;283;
314;3617;2;356;282;
315;3625;2;356;282;
316;3637;2;356;282;
317;3650;2;356;281;
318;3659;2;356;281;
319;3670;2;356;280;
320;3684;2;356;280;
321;3692;2;356;279;
322;3704;2;357;279;
323;3717;2;356;279;
324;3727;2;356;278;
325;3737;2;356;278;
326;3750;2;356;277;
327;3759;2;356;277;
328;3771;2;356;276;
329;3784;2;356;276;
330;3795;2;356;276;
331;3804;2;356;275;
332;3817;2;356;275;
333;3827;2;356;275;
334;3838;2;356;274;
335;3851;2;356;274;
336;3860;2;356;274;
337;3871;2;355;273;
338;3884;2;355;273;
339;3893;2;355;273;
340;3905;2;355;273;
341;3918;2;355;273;
342;3927;2;355;272;
343;3938;2;355;272;
344;3951;2;355;272;
345;3961;2;355;272;
346;3972;2;355;271;
347;3984;2;355;271;
348;3995;2;355;271;
349;4005;2;354;270;
350;4018;2;354;270;
351;4028;2;354;269;
352;4039;2;354;269;
353;4052;2;354;268;
354;4061;2;354;268;
355;4072;2;354;267;
356;4086;2;354;267;
357;4097;2;354;266;
358;4106;2;354;265;
359;4120;2;353;265;
360;4128;2;353;264;
361;4139;2;353;264;
362;4152;2;353;263;
363;4161;2;353;263;
364;4175;2;353;262;
365;4184;2;353;262;
366;4195;2;353;261;
